Name,TimeLimit,Turn,Iter
M_RAVE,10,1,184
M_RAVE,10,2,243
M_RAVE,10,3,256
M_RAVE,10,4,271
M_RAVE,10,5,248
M_RAVE,10,6,146
M_RAVE,10,7,202
M_RAVE,10,8,170
M_RAVE,10,9,269
M_RAVE,10,10,205
M_RAVE,10,11,264
M_RAVE,10,12,214
M_RAVE,10,13,265
M_RAVE,10,14,247
M_RAVE,10,15,293
M_RAVE,10,16,314
M_RAVE,10,17,344
M_RAVE,10,18,355
M_RAVE,10,19,385
M_RAVE,10,20,384
M_RAVE,10,21,414
M_RAVE,10,22,410
M_RAVE,10,23,420
M_RAVE,10,24,482
M_RAVE,10,25,554
M_RAVE,10,26,567
M_RAVE,10,27,592
M_RAVE,10,28,625
M_RAVE,10,29,639
M_RAVE,10,30,673
M_RAVE,10,31,770
M_RAVE,10,32,872
M_RAVE,10,33,1049
M_RAVE,10,34,1220
M_RAVE,10,35,1861
M_RAVE,10,36,4246
M_RAVE,10,1,241
M_RAVE,10,2,240
M_RAVE,10,3,236
M_RAVE,10,4,250
M_RAVE,10,5,258
M_RAVE,10,6,256
M_RAVE,10,7,270
M_RAVE,10,8,268
M_RAVE,10,9,274
M_RAVE,10,10,294
M_RAVE,10,11,303
M_RAVE,10,12,316
M_RAVE,10,13,342
M_RAVE,10,14,344
M_RAVE,10,15,356
M_RAVE,10,16,376
M_RAVE,10,17,390
M_RAVE,10,18,423
M_RAVE,10,19,432
M_RAVE,10,20,444
M_RAVE,10,21,472
M_RAVE,10,22,513
M_RAVE,10,23,447
M_RAVE,10,24,568
M_RAVE,10,25,668
M_RAVE,10,26,736
M_RAVE,10,27,850
M_RAVE,10,28,915
M_RAVE,10,29,973
M_RAVE,10,30,953
M_RAVE,10,31,1153
M_RAVE,10,32,1130
M_RAVE,10,33,1516
M_RAVE,10,34,1621
M_RAVE,10,35,1799
M_RAVE,10,36,3712
MCTS,10,1,194
MCTS,10,2,222
MCTS,10,3,271
MCTS,10,4,262
MCTS,10,5,267
MCTS,10,6,276
MCTS,10,7,284
MCTS,10,8,285
MCTS,10,9,294
MCTS,10,10,301
MCTS,10,11,311
MCTS,10,12,319
MCTS,10,13,327
MCTS,10,14,343
MCTS,10,15,364
MCTS,10,16,310
MCTS,10,17,365
MCTS,10,18,441
MCTS,10,19,394
MCTS,10,20,493
MCTS,10,21,502
MCTS,10,22,363
MCTS,10,23,386
MCTS,10,24,376
MCTS,10,25,514
MCTS,10,26,453
MCTS,10,27,332
MCTS,10,28,295
MCTS,10,29,288
MCTS,10,30,749
MCTS,10,31,644
MCTS,10,32,713
MCTS,10,33,411
MCTS,10,34,1038
MCTS,10,35,1362
MCTS,10,36,3283
MCTS,10,1,239
MCTS,10,2,229
MCTS,10,3,233
MCTS,10,4,179
MCTS,10,5,252
MCTS,10,6,210
MCTS,10,7,288
MCTS,10,8,304
MCTS,10,9,287
MCTS,10,10,316
MCTS,10,11,307
MCTS,10,12,313
MCTS,10,13,343
MCTS,10,14,252
MCTS,10,15,95
MCTS,10,16,123
MCTS,10,17,150
MCTS,10,18,163
MCTS,10,19,169
MCTS,10,20,178
MCTS,10,21,184
MCTS,10,22,192
MCTS,10,23,185
MCTS,10,24,206
MCTS,10,25,218
MCTS,10,26,265
MCTS,10,27,299
MCTS,10,28,823
MCTS,10,29,785
MCTS,10,30,960
MCTS,10,31,1128
MCTS,10,32,1277
MCTS,10,33,1476
MCTS,10,34,1748
MCTS,10,35,2528
MCTS,10,36,2648
MCTS,10,1,286
M_RAVE,10,1,305
MCTS,10,2,310
M_RAVE,10,2,305
MCTS,10,3,298
M_RAVE,10,3,278
MCTS,10,4,312
M_RAVE,10,4,313
MCTS,10,5,317
M_RAVE,10,5,328
MCTS,10,6,334
M_RAVE,10,6,342
MCTS,10,7,349
M_RAVE,10,7,357
MCTS,10,8,375
M_RAVE,10,8,366
MCTS,10,9,381
M_RAVE,10,9,391
MCTS,10,10,387
M_RAVE,10,10,371
MCTS,10,11,368
M_RAVE,10,11,388
MCTS,10,12,404
M_RAVE,10,12,376
MCTS,10,13,379
M_RAVE,10,13,437
MCTS,10,14,437
M_RAVE,10,14,403
MCTS,10,15,443
M_RAVE,10,15,388
MCTS,10,16,370
M_RAVE,10,16,387
MCTS,10,17,421
M_RAVE,10,17,415
MCTS,10,18,435
M_RAVE,10,18,428
MCTS,10,19,440
M_RAVE,10,19,444
MCTS,10,20,454
M_RAVE,10,20,540
MCTS,10,21,573
M_RAVE,10,21,589
MCTS,10,22,593
M_RAVE,10,22,651
MCTS,10,23,554
M_RAVE,10,23,580
