FixtureSet,Game,Player,Opponent,Result,Win,Loss,Draw,PlayerScore,OpponentScore,CompleteCityScore,CompleteRoadScore,CompleteMonasteryScore,IncompleteCityScore,IncompleteRoadScore,IncompleteMonasteryScore,FarmScore,MeeplesPlayed,MeepleTurns,MeepleFeatures,Turns,AvgTurnTime
1,1,M_RAVE,Random,1,1,0,0,117,16,58,16,0,7,3,6,27,15,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 15, 30, 32, 33, 34, 35]","['R', 'C', 'C', 'G', 'R', 'C', 'R', 'G', 'Monastery', 'R', 'C', 'G', 'C', 'C', 'G']",37,9.766074071059355
1,1,Random,M_RAVE,2,0,1,0,16,117,0,3,0,1,3,0,9,8,"[1, 2, 3, 4, 7, 9, 12, 15]","['G', 'G', 'G', 'R', 'R', 'R', 'G', 'C']",36,0.0005546742015414768
1,2,M_RAVE,Random,1,1,0,0,125,27,52,20,9,19,8,5,12,17,"[3, 4, 5, 6, 7, 8, 9, 12, 20, 23, 25, 26, 30, 31, 32, 35, 36]","['C', 'R', 'C', 'R', 'C', 'C', 'Monastery', 'C', 'Monastery', 'G', 'R', 'C', 'R', 'C', 'G', 'R', 'R']",37,9.773086103233132
1,2,Random,M_RAVE,2,0,1,0,27,125,0,0,9,1,2,0,15,8,"[1, 3, 4, 8, 9, 10, 12, 35]","['G', 'G', 'G', 'G', 'C', 'R', 'Monastery', 'R']",36,0.0004716051949395074
2,1,MCTS,Random,1,1,0,0,69,16,14,12,0,20,14,6,3,11,"[1, 2, 4, 5, 6, 10, 11, 12, 13, 19, 33]","['C', 'R', 'R', 'C', 'R', 'Monastery', 'C', 'R', 'G', 'R', 'R']",37,9.802085212759069
2,1,Random,MCTS,2,0,1,0,16,69,0,4,0,3,1,5,3,8,"[1, 2, 3, 5, 6, 7, 9, 12]","['R', 'Monastery', 'G', 'C', 'G', 'R', 'G', 'G']",36,0.0006089011828104655
2,2,MCTS,Random,1,1,0,0,85,32,24,14,0,7,7,0,33,14,"[1, 3, 4, 5, 6, 7, 8, 10, 12, 23, 24, 25, 27, 36]","['R', 'R', 'R', 'G', 'C', 'R', 'C', 'C', 'R', 'C', 'C', 'G', 'G', 'G']",37,9.791955458151328
2,2,Random,MCTS,2,0,1,0,32,85,6,0,0,12,4,7,3,8,"[1, 2, 4, 6, 7, 8, 11, 25]","['G', 'G', 'R', 'G', 'C', 'Monastery', 'C', 'C']",36,0.0006106297175089518
3,1,MCTS,M_RAVE,1,1,0,0,96,92,16,13,18,8,8,6,27,16,"[1, 3, 4, 5, 6, 7, 8, 11, 12, 16, 21, 22, 23, 24, 25, 36]","['C', 'Monastery', 'C', 'G', 'R', 'R', 'G', 'Monastery', 'R', 'R', 'R', 'C', 'R', 'C', 'Monastery', 'C']",37,9.782764041745985
3,1,M_RAVE,MCTS,2,0,1,0,92,96,12,12,0,26,0,15,27,12,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 15, 17, 32]","['C', 'R', 'R', 'R', 'C', 'C', 'C', 'C', 'C', 'Monastery', 'Monastery', 'G']",36,9.766141374905905
3,2,MCTS,M_RAVE,1,1,0,0,93,78,18,12,9,13,8,0,33,14,"[1, 3, 4, 5, 6, 9, 11, 12, 13, 15, 18, 21, 33, 34]","['R', 'G', 'C', 'Monastery', 'G', 'R', 'G', 'R', 'C', 'C', 'R', 'G', 'R', 'G']",37,10.597762552467552
3,2,M_RAVE,MCTS,2,0,1,0,78,93,24,7,9,14,14,7,3,13,"[1, 2, 4, 5, 6, 7, 9, 11, 12, 14, 15, 21, 22]","['R', 'C', 'C', 'C', 'C', 'R', 'C', 'G', 'R', 'Monastery', 'R', 'Monastery', 'G']",36,10.09513062900967
4,1,Random,M_RAVE,2,0,1,0,18,76,0,0,0,9,0,0,9,7,"[2, 4, 5, 7, 8, 9, 11]","['C', 'G', 'G', 'C', 'G', 'C', 'C']",37,0.000571373346689585
4,1,M_RAVE,Random,1,1,0,0,76,18,16,6,0,14,18,22,0,12,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15]","['R', 'C', 'Monastery', 'Monastery', 'C', 'Monastery', 'C', 'R', 'R', 'R', 'C', 'R']",36,13.544825269116295
